Player Name,Score,Character,Vehicle,Glider,Tires
Dragnir,107824,Dry Bowser,Streetle,Super Glider,Roller
エル,111709,Wario,Splat Buggy,Super Glider,Slim
Elpis,85854,Pink Yoshi,Streetle,Super Glider,Azure Roller
John,87447,Dry Bowser,Streetle,Super Glider,Button
Jacob,59524,Dry Bowser,Splat Buggy,Parafoil,Slim
エル,111771,Morton,Splat Buggy,Super Glider,Slim
エル,111760,Morton,Splat Buggy,Super Glider,Slim
Mick,84758,Orange Yoshi,Streetle,Super Glider,Roller
John,87601,Dry Bowser,Streetle,Super Glider,Blue Standard
Treat,107739,Bowser,Master Cycle,Wario Wing,Metal
Kevin,84423,Heavy Mii Sonic,Streetle,Super Glider,Roller
Liar,106183,Dry Bowser,Streetle,Super Glider,Roller
Danny,101415,Bowser,Splat Buggy,Plane Glider,Slim
Ace Tman,85763,White Shy Guy,Streetle,Plane Glider,Slim
Kevin,81141,Heavy Mii Sonic,Streetle,Plane Glider,Slim
John,79872,Dry Bowser,Streetle,Super Glider,Button
Mick,84167,Orange Yoshi,Streetle,Super Glider,Roller
John,85987,Dry Bowser,Streetle,Super Glider,Roller
Stacy1199,85326,Heavy Mii,Streetle,Bowser Kite,Standard
John,81066,Dry Bowser,Streetle,Super Glider,Off-Road
Snowdog,85587,Orange Yoshi,Streetle,Plane Glider,Slim
Dusse,126899,Morton,Sport Bike,Super Glider,Metal
K4I,122991,Dry Bowser,W 25 Silver Arrow,Flower Glider,Slim
Noko,112960,Bowser,Comet,Super Glider,Slim
Danny,110376,Donkey Kong,Sneeker,Plane Glider,Azure Roller
Cole,74404,Dry Bowser,Sport Bike,Super Glider,Cyber Slick
WEC Leroy,119886,Donkey Kong,Sneeker,Super Glider,Roller
44,78923,Bowser,Streetle,MKTV Parafoil,Slim
Nato,71657,Dry Bowser,Streetle,Super Glider,Standard
うた,119123,Dry Bowser,Streetle,Hylian Kite,Roller
John,87929,Dry Bowser,Streetle,Super Glider,Metal
K4I,100273,Donkey Kong,Biddybuggy,Super Glider,Azure Roller
Jimmy,92895,Dry Bowser,Standard Kart,Super Glider,Standard
ケーべルト,117495,Morton,Streetle,Super Glider,Roller
Nick,97413,Tanooki Mario,Splat Buggy,Super Glider,Roller
Thomas,110818,Heavy Mii,Mach 8,Plane Glider,Leaf Tires
Domenico,104139,Morton,Splat Buggy,Plane Glider,Slim
Domenico,112195,Morton,Splat Buggy,Parafoil,Slim
Kay,121594,Heavy Mii Crossing,Splat Buggy,Super Glider,Slim
Mick,62730,Orange Yoshi,Streetle,Super Glider,Roller
Leo,120865,Wario,Streetle,MKTV Parafoil,Roller
Domenico,104103,Morton,Splat Buggy,Super Glider,Slim
エル,111638,Wario,Splat Buggy,Super Glider,Slim
Mick,84012,Orange Yoshi,Streetle,Super Glider,Roller
うひ,123870,Bowser,Splat Buggy,Super Glider,Crimson Slim
Ren,115720,Morton,Mach 8,Plane Glider,Roller
Finn,64431,Orange Inkling Girl,Splat Buggy,Parachute,Slim
Crazykonga,122112,Dry Bowser,Wild Wiggler,Super Glider,Wood
John,82565,King Boo,Streetle,Super Glider,Roller
Alex,120998,Heavy Mii Varia,Streetle,Parachute,Slim
Ethan,111756,Wario,Streetle,Super Glider,Standard
Danny,113384,Bowser,Streetle,Plane Glider,Off-Road
Jelledot,108815,Morton,Comet,Super Glider,Slim
Jelledot,107799,Morton,Master Cycle,Wario Wing,Slick
ゆうじ,89243,Donkey Kong,Sneeker,Wario Wing,Roller
Cole,107505,Dry Bowser,Sport Bike,Super Glider,Cyber Slick
Kay,121909,Heavy Mii Crossing,Splat Buggy,Flower Glider,Slim
Cynda,119812,Heavy Mii Varia,Sneeker,Super Glider,Roller
John,64224,Morton,Splat Buggy,Plane Glider,Crimson Slim
Mick,83966,Orange Yoshi,Streetle,Super Glider,Roller
John,88403,Roy,Streetle,Super Glider,Off-Road
John,84817,Dry Bowser,Streetle,Super Glider,Off-Road
